,text,user
124,@realDonaldTrump @TuckerCarlson It’s a  bunch of shit - his face was so red from lying 🤥 so bad how much did you pay him ?,pattiboland3
125,@realDonaldTrump You're nothing but a SUPER SPREADER! STOP IT NOW!!! #PleaseResign,JewelrybyNaLa
126,RT @HerdDeep: @realDonaldTrump And now on to the next Infectathon! https://t.co/i78AjoZKsV,MrCalvincoke
127,@realDonaldTrump And their still on the tarmac freezing their balls off https://t.co/0Pt54064Ia,Kmcmoran
128,@realDonaldTrump @TuckerCarlson FAKE NEWS THAT'S WHY,apperson_olga
129,@realDonaldTrump I guess this was before you left their ignorant asses stranded in the cold!! Talk about suckers and losers!,redbfeed
130,"@realDonaldTrump Where is Crede Bailey?  Is he ""learning to live with it""? #CredeBailey #COVID19 #coronavirus… https://t.co/prrwz35fVF",TaijiFusion
131,"@realDonaldTrump No, you suck at business.  You generally lose money, that's why you don't pay taxes, remember?",TTregonia
132,@realdonaldtrump and your stupid followers. https://t.co/THou7WTym9,TRUTHonBENGHAZI
133,RT @HKrassenstein: @realDonaldTrump @TuckerCarlson How about we talk about Ivanka’s Chinese trademarks that she got while you threatened ta…,LakersBabyyyyyy
134,@realDonaldTrump @TuckerCarlson Well that’s because Tucker Carlson is a human tabloid and rarely has any facts supp… https://t.co/EoaKi0gR2Q,lotusrun
135,RT @AynRandPaulRyan: @realDonaldTrump Oh my god.  You couldn’t even get a super spreader rally in Omaha right.  You bused them in but you f…,bone_bernard
136,RT @eugenegu: @realDonaldTrump So Joe Biden is acting responsibly during a pandemic by limiting the crowd and drawing circles to promote so…,juanmartin9835
137,@realDonaldTrump @GOPChairwoman https://t.co/fyM87u4mNu,pegitha
138,@realDonaldTrump https://t.co/UGs4BV5nUV,charlottecicale
139,@realDonaldTrump @TuckerCarlson maybe because it's FAKE news Donnie,JasonKirkland1
140,@realDonaldTrump https://t.co/8KiWovFeXg,einarsen_havard
141,@realDonaldTrump @TuckerCarlson Time to heavily regulate @twitter @jack and maybe break up @facebook + @google + @amazon,mikeleeindacut
142,@realDonaldTrump @TuckerCarlson https://t.co/JGqjnXzZjh,To_Guidos
143,@realDonaldTrump . You Lied about Getting It so People would Feel Sorry for you....  But is it Still Killing You!!!,keenanphoto
144,@realDonaldTrump @TuckerCarlson You should just make your own social media app. Then you can post whatever your hea… https://t.co/t5V0ftb6CZ,Rubyred00672360
145,@realDonaldTrump @TuckerCarlson And yet here you are talking about it on Twitter.,Michael07079
146,@realDonaldTrump @TuckerCarlson Give ALL your local businesses who advertise on Twitter bad reviews. https://t.co/TknvKQHY4v,realQuickening
147,@realDonaldTrump But didn't your developments all fail?,Four_Channel
148,"RT @TheDailyEdge: @realDonaldTrump @TuckerCarlson It's amazing! The real ""Hunter"" scandal: https://t.co/R5ZNyKRWIZ",BobbyBacala8
149,@realDonaldTrump @TuckerCarlson maybe because it's fake news,Shaggy65369010
150,"RT @HKrassenstein: @realDonaldTrump @TuckerCarlson Dude, you literally have a secret Chinese bank account, and a foreign bank forgave $200…",Flabio87874371
151,@realDonaldTrump @TuckerCarlson were on to them  #RideTheRed,FearGod4Ever
152,@realDonaldTrump @TuckerCarlson Cool so let’s make up stories about Baron being a pimp at his school and talk about… https://t.co/hnhDNfUwLr,NikkiMurillo
153,@realDonaldTrump @TuckerCarlson It's #fakenews idiot!  That's why...🤣🤣,Flutterflash
154,@realDonaldTrump @TuckerCarlson https://t.co/06JJRj6jsy,mchakir
155,@realDonaldTrump @TuckerCarlson https://t.co/0vxXGgc8D2,StuckinLebanon
156,@realDonaldTrump @TuckerCarlson coming back to reply to ur tweets bc i need views https://t.co/VY243ukxLK,FLICKERAFFAIRS
157,@realDonaldTrump @TuckerCarlson Should they be punished to be deafening voters? Evil media and big tech hypocrites!,rliu32
158,"RT @HKrassenstein: @realDonaldTrump @TuckerCarlson Dude, you literally have a secret Chinese bank account, and a foreign bank forgave $200…",kbal3259
159,@realDonaldTrump @TuckerCarlson These media are manipulated to prevent the public from knowing the truth. If the me… https://t.co/AJKAanh93Q,Freedom_XMLY
160,@realDonaldTrump @TuckerCarlson Maybe they ain’t falling for your “hoax”.,ShnydaOne
161,@realDonaldTrump Covid is real real real 8 million cases 226k dead. How about a national mask mandate?,gregoryriccard3
162,"@realDonaldTrump THIS JUST IN, PRESIDENT CONTINUES TO TRY AND RECRUIT ILLEGAL POLL WATCHERS IN HIS PERSONAL ARMY!",Jjjjjjj72424083
163,"@realDonaldTrump @TuckerCarlson Can not let the peasants hear truth. The pitchforks would come out. Oh, by the way,… https://t.co/EgHGiT7tsW",leo_videle
164,@realDonaldTrump @TuckerCarlson It's amazing no-one not 2/3rds up your ass even talks about this garbage.,ChrisJo38886738
165,@realDonaldTrump We are voting for the guy who cares about Americans and doesn't want them to die from Covid or exp… https://t.co/Dr7b1qr2oe,adamspva
166,@realDonaldTrump Lol... no thanks,Debbieh62338026
167,@realDonaldTrump @TuckerCarlson You and Tucker have a lot in common.  Fox News has told the courts not to consider… https://t.co/rVF7HBhgAj,CAPT_USN_ret
168,"@realDonaldTrump @TuckerCarlson Because it's a lie!!  Your laptop dog news Agency, FOX, refused to publish it for c… https://t.co/WvCKJ8evYu",PhotographPhily
169,@realDonaldTrump @TuckerCarlson ITS THE TWEET OF GOD NO ONE WANTS HEAR IT ANYMORE,Lorinel19546290
170,@realDonaldTrump @TuckerCarlson Earth shattering Breaking News!  @jack doesn't give a shit.,DomesticLiberty
171,@realDonaldTrump Trump left 30 bus loads of seniors stranded in freezing weather late at night after rally.  Many h… https://t.co/HfcIIOsRb6,NotRightNowOrE1
172,@realDonaldTrump Militia is calling. Donnie starting a civil war. Bad but not unexpected. Poor country. Get rid of this incapable president.,demutelisyan
173,"RT @itsJeffTiedrich: @realDonaldTrump @FoxNews what a crybaby you are. also, if you really did PREPAY many Million of Dollars in Taxes (lov…",KayomieLatoro
174,RT @Craig_A_Spencer: @realDonaldTrump It's already here. https://t.co/sahyo9RM8I,jpcronk
175,@realDonaldTrump @TuckerCarlson #TonyBobulinski,dwtl13
176,@realDonaldTrump @TuckerCarlson Yup lying about what the Pope said https://t.co/Ko9iogkL0P,lapd80084315
177,@realDonaldTrump @TuckerCarlson that is cause they hate you cause you are draining their swamp~,166ben
178,@realDonaldTrump @TuckerCarlson #Trumplies101 with zero forensic evidence why should they share your propaganda 🤔 https://t.co/8u3s8vFIHt,citizensfortru2
179,@realDonaldTrump Chicago rahm emanuel ‘never waste a crisis!’ Worse than hypocrites they All R,N1OWNSME
180,@realDonaldTrump @TuckerCarlson More whining and crying.  Looks like a diaper change is needed. https://t.co/26ZOQjKrQi,DumpTru34821774
181,@realDonaldTrump @TuckerCarlson Aren’t the media violating the law? I thought there was a law put in place to insur… https://t.co/Mh8FSePD0o,1WingandaPrayer
182,@realDonaldTrump Praying for freedom from hate for our neighbors in the south.,goldie_luckey
183,RT @DebbieSVA: @realDonaldTrump How many were HOSPITALIZED? 😡 https://t.co/1InLVJ9QJ8,sharnettereese1
184,@realDonaldTrump @TuckerCarlson You really shouldn't be throwing pebbles when you have canons pointed at your glass house...,VintageAngel6
185,@realDonaldTrump https://t.co/3RPPD8p3qW,mcd236
186,@realDonaldTrump @TuckerCarlson You left your supporters frozen to a Nebraska highway last night and this is what you are concerned about?,LessieSFlynn1
187,"@realDonaldTrump @TuckerCarlson They are but nobody is interested. So brace yourself for a Biden Presidency, Donald.",ChuzeeBonano
188,"@realDonaldTrump She was wearing a mask IT WAS ON THE TABLE NEXT TO HER, ass",BonnieSudol
189,@realDonaldTrump @TuckerCarlson You mean the fan fiction that even Faux News and the Wall Street Journal won’t prin… https://t.co/mXprvousCj,VectorVitriol
190,@realDonaldTrump https://t.co/OmictozeZP,charlottecicale
191,"RT @KiachaMalone: @realDonaldTrump “Army”, “defend”, “fight”.  You know what he’s telling them to do. Be careful, guys.  #BidenHarris2020 #…",SoTrumpedOut
192,@realDonaldTrump @TuckerCarlson Biggest liar ever go to hell you are going down because of COVID COVID COVID,Anis13500109
193,@realDonaldTrump Communist.,jmmuyl
194,"RT @dvillella: @realDonaldTrump It's cute that you think this makes Biden look bad, especially given what happened in NE last night.   http…",Streganonna77
195,@realDonaldTrump @TuckerCarlson https://t.co/W5vonSD2I5,atheistrockey
196,"@realDonaldTrump You abandoned them, freezing, with no way for them to get home. VOTE BIDEN!!!",Ultramatic1
197,@realDonaldTrump  Dear Mr. President! If you care for polish votes please replace Ambassador in Poland. Mrs Mosbach… https://t.co/iIVQ5LawF2,_janusz_p
198,@realDonaldTrump @TuckerCarlson Because it’s a fake story and it’s Russia disinformation because your lawyer was a Russian asset,xray_guy
199,@realDonaldTrump It just drives you crazy that you can not control the media. You are a bad president not a king.,Catheri26788373
200,@realDonaldTrump @TuckerCarlson https://t.co/0YfxLv8TCq,Wiccan_RN
201,"RT @HKrassenstein: @realDonaldTrump @TuckerCarlson Dude, you literally have a secret Chinese bank account, and a foreign bank forgave $200…",LakersBabyyyyyy
202,@realDonaldTrump You’ve allowed for a quarter of a million Americans to die. You’ve stated “it is what it is” and h… https://t.co/mtDIHIc6vh,LindaJensen5020
203,"@realDonaldTrump Super spreading the virus not quick enough for you, Snuffy? You think trying to give old folks hyp… https://t.co/Dl8L1gWb3b",BertieRustle
204,RT @RepsForBiden: @realDonaldTrump Keep posting these videos. The majority of Americans are terrified to see you holding big mask-less rall…,jp_dutch
205,@realDonaldTrump @TuckerCarlson BECAUSE WE DON'T CARE ABOUT FAKE PAID NEWS OR HUNTER FUCKING BIDEN BECAUSE HE ISNT THE PRESIDENT,FredBot1_0
206,@realDonaldTrump @TuckerCarlson https://t.co/7Cf0sEOU2j,PSchafhausen
207,@realDonaldTrump @TuckerCarlson https://t.co/yQ37cSl763,jsdfposjpqyuee1
208,@realDonaldTrump @TuckerCarlson What a real president sounds like:  https://t.co/BymCVihNqj,OwnRules
209,@realDonaldTrump @TuckerCarlson When can we see them in orange jumpsuits?,Stephen50699611
210,"@realDonaldTrump It’s always someone else’s fault, every single time.  Every single time!",TomConklin12
211,"RT @wdunlap: @realDonaldTrump @TuckerCarlson Christine Blasey Ford: ""I have no witnesses, no details, and no evidence"" Media: ""Extremely Cr…",AppleChen1107
212,"@realDonaldTrump @TuckerCarlson Bro, I watched that interview.  I’ll explain it to you like your candidacy depended… https://t.co/vraOeGKaqD",JohnNegron1
213,RT @VoteNovThird: @realDonaldTrump @TuckerCarlson https://t.co/6meyEvRuXA,ValTilley
214,@realDonaldTrump @TuckerCarlson https://t.co/fY2SbkoQhh,Silvanarc
215,@realDonaldTrump One cares about his supporters and can navigate multiple steps.  One cares about the adulation.,hmmm889
216,"@realDonaldTrump @TuckerCarlson Twitter is filled with corrupt shills Mr President, its time to regulate the tech i… https://t.co/5uKaapfaSi",SaxonSinapi
217,@realDonaldTrump @TuckerCarlson So long as it doesn’t incriminate you it’s irrelevant Sir ...these people are hypoc… https://t.co/Qzsw4qzPNm,iamderricknoi
218,"RT @mmpadellan: @realDonaldTrump We're voting for the guy who believes in science...and can handle a glass of water, a ramp, and a flight o…",boogsmom95
